Rank,School,Record ,Points,Trend

1,AlabamaALA(60),8-0,1524,
2,MichiganMICH(1),8-0,1435,
3,ClemsonCLEM,8-0,1401,
4,WashingtonWASH,8-0,1369,
5,LouisvilleLOU,7-1,1262,
6,Ohio StateOSU,7-1,1207,
7,Texas A&M;TA&M;,7-1,1150,2
8,WisconsinWIS,6-2,1122,3
9,NebraskaNEB,7-1,951,2
10,FloridaFLA,6-1,929,4
11,AuburnAUB,6-2,927,4
12,OklahomaOKLA,6-2,835,4
13,BaylorBAY,6-1,693,5
14,West VirginiaWVU,6-1,620,4
15,LSULSU,5-2,586,4
16,UtahUTAH,7-2,506,1
17,Western MichiganWMU,8-0,481,3
18,North CarolinaUNC,6-2,423,3
19,Florida StateFSU,5-3,409,7
20,Penn StatePSU,6-2,390,4
21,ColoradoCOLO,6-2,375,2
22,Oklahoma StateOKST,6-2,355,NR
23,Virginia TechVT,6-2,345,2
24,Boise StateBSU,7-1,203,11
25,Washington StateWSU,6-2,139,NR
Complete Rankings
