Away ,Home,away_score,home_score,time
Cent. Michigan,Miami (OH),17,37,4th 13:16
Temple,Connecticut,21,0,3rd  13:09 | 1ST AND 10
San Jose State,Boise State,,,10:15 PM ET
Alabama,LSU,,,8:00 PM ET
Syracuse,Clemson,,,3:30 PM ET
Maryland,Michigan,,,3:30 PM ET
Texas A&M;,Mississippi State,,,12:00 PM ET
Washington,California,,,10:30 PM ET
Nebraska,Ohio State,,,8:00 PM ET
Louisville,Boston College,,,12:00 PM ET
Wisconsin,Northwestern,,,12:00 PM ET
Vanderbilt,Auburn,,,12:00 PM ET
Florida,Arkansas,,,3:30 PM ET
Iowa,Penn State,,,7:30 PM ET
TCU,Baylor,,,3:30 PM ET
Oklahoma State,Kansas State,,,3:30 PM ET
Virginia Tech,Duke,,,3:30 PM ET
Kansas,West Virginia,,,7:00 PM ET
Georgia Tech,North Carolina,,,12:30 PM ET
Florida State,NC State,,,7:00 PM ET
Arizona,Washington State,,,4:00 PM ET
Notre Dame,Navy,,,11:30 AM ET
Texas,Texas Tech,,,12:00 PM ET
Indiana,Rutgers,,,12:00 PM ET
Michigan State,Illinois,,,12:00 PM ET
Ga. Southern,Mississippi,,,12:00 PM ET
Air Force,Army,,,12:00 PM ET
Pittsburgh,Miami,,,12:30 PM ET
Monmouth,Coastal Caro.,,,2:00 PM ET
UTSA,Middle Tennessee,,,2:30 PM ET
Virginia,Wake Forest,,,3:00 PM ET
BYU,Cincinnati,,,3:30 PM ET
Oregon State,Stanford,,,3:30 PM ET
Florida Atlantic,Rice,,,3:30 PM ET
Charlotte,Southern Miss,,,3:30 PM ET
Fresno State,Colorado State,,,3:30 PM ET
Massachusetts,Troy,,,3:30 PM ET
Purdue,Minnesota,,,3:30 PM ET
Texas State,Appalachian St.,,,3:30 PM ET
Memphis,SMU,,,4:00 PM ET
Missouri,South Carolina,,,4:00 PM ET
Tennessee Tech,Tennessee,,,4:00 PM ET
South Alabama,Louisiana-Monroe,,,5:00 PM ET
Idaho,Louisiana-Lafayette,,,5:00 PM ET
Tulane,UCF,,,5:00 PM ET
Louisiana Tech,North Texas,,,5:30 PM ET
FIU,Western Kentucky,,,5:30 PM ET
Hawaii,San Diego State,,,7:00 PM ET
Oregon,Southern California,,,7:00 PM ET
Marshall,Old Dominion,,,7:00 PM ET
Georgia,Kentucky,,,7:30 PM ET
East Carolina,Tulsa,,,8:00 PM ET
Houston Baptist,UTEP,,,8:00 PM ET
Utah State,Wyoming,,,10:15 PM ET
Nevada,New Mexico,,,10:15 PM ET
Western Mich.,Ball State,52,20,Final
Bowling Green,NIU,20,45,Final
Toledo,Akron,48,17,Final
Oklahoma,Iowa State,34,24,Final
UCLA,Colorado,10,20,Final
Buffalo,Ohio,10,34,Final
Arkansas State,Georgia State,31,16,Final
